"","Agroup_monophyly","Crub_Cgrand_monophyly","Csat_monophyly","C_group_monophyly","Topology","Topology_loose","Bootstrap_Support"
"1","TRUE","TRUE","TRUE","TRUE","BC_topology","BC_topology","100"
"2","TRUE","TRUE","TRUE","TRUE","BC_topology","BC_topology","85"
"3","TRUE","TRUE","TRUE","TRUE","BC_topology","BC_topology","100"
"4","TRUE","TRUE","TRUE","TRUE","BC_topology","BC_topology","89"
"5","TRUE","TRUE","TRUE","TRUE","BC_topology","BC_topology","100"
"6","TRUE","TRUE","TRUE","TRUE","BC_topology","BC_topology","100"
"7","TRUE","TRUE","TRUE","TRUE","BC_topology","BC_topology","94"
"8","TRUE","TRUE","TRUE","TRUE","BC_topology","BC_topology","100"
"9","TRUE","TRUE","TRUE","TRUE","BC_topology","BC_topology","100"
"10","TRUE","TRUE","TRUE","TRUE","BC_topology","BC_topology","100"
"11","TRUE","TRUE","TRUE","TRUE","BC_topology","BC_topology","100"
"12","TRUE","TRUE","TRUE","TRUE","BC_topology","BC_topology","100"
"13","TRUE","TRUE","TRUE","TRUE","BC_topology","BC_topology","81"
"14","TRUE","TRUE","TRUE","TRUE","BC_topology","BC_topology","100"
"15","TRUE","TRUE","TRUE","TRUE","BC_topology","BC_topology","74"
"16","TRUE","TRUE","TRUE","TRUE","BC_topology","BC_topology","86"
"17","TRUE","TRUE","TRUE","TRUE","BC_topology","BC_topology","77"
"18","TRUE","TRUE","TRUE","TRUE","BC_topology","BC_topology","100"
"19","TRUE","TRUE","TRUE","TRUE","BC_topology","BC_topology","96"
"20","TRUE","TRUE","TRUE","TRUE","BC_topology","BC_topology","99"
"21","TRUE","TRUE","TRUE","FALSE","Other_topology","Other_topology","BS_scoreNA"
"22","TRUE","TRUE","TRUE","TRUE","BC_topology","BC_topology","100"
"23","TRUE","TRUE","TRUE","TRUE","BC_topology","BC_topology","74"
"24","TRUE","TRUE","TRUE","TRUE","BC_topology","BC_topology","99"
"25","TRUE","TRUE","TRUE","TRUE","BC_topology","BC_topology","83"
"26","TRUE","TRUE","TRUE","TRUE","BC_topology","BC_topology","100"
"27","TRUE","TRUE","TRUE","TRUE","AC_topology","AC_topology","51"
"28","TRUE","TRUE","TRUE","TRUE","BC_topology","BC_topology","87"
"29","TRUE","TRUE","TRUE","FALSE","Other_topology","BC_topology","96"
"30","FALSE","TRUE","TRUE","FALSE","Other_topology","BC_topology","40"
"31","TRUE","TRUE","TRUE","TRUE","BC_topology","BC_topology","69"
"32","TRUE","TRUE","TRUE","TRUE","BC_topology","BC_topology","100"
"33","FALSE","TRUE","TRUE","TRUE","BC_topology","BC_topology","87"
"34","TRUE","TRUE","TRUE","FALSE","Other_topology","BC_topology","94"
"35","TRUE","TRUE","TRUE","TRUE","BC_topology","BC_topology","100"
"36","TRUE","TRUE","TRUE","TRUE","BC_topology","BC_topology","100"
"37","TRUE","TRUE","TRUE","TRUE","AC_topology","AC_topology","46"
"38","TRUE","TRUE","TRUE","FALSE","Other_topology","Other_topology","BS_scoreNA"
