"","Agroup_monophyly","Crub_Cgrand_monophyly","Csat_monophyly","C_group_monophyly","Topology","Bootstrap_Support","Athal_sister","CrubCgra_sister"
"1","TRUE","TRUE","TRUE","TRUE","BC_topology","77","Alyr__16052860","Csativa__XP_010457174 Csativa__XP_010474696"
"2","TRUE","TRUE","TRUE","TRUE","BC_topology","82","Alyr__16049140","Csativa__XP_010474700"
"3","TRUE","TRUE","TRUE","TRUE","BC_topology","99","Alyr__16041002","Csativa__XP_010480581 Csativa__XP_010474709 Csativa__XP_010457157"
"4","TRUE","TRUE","TRUE","FALSE","AB_topology","37","Alyr__16038331","Alyr__16038331 Athal__AT1G01230 Bstri__Bostr.5325s0045"
"5","TRUE","TRUE","TRUE","TRUE","BC_topology","93","Alyr__16044741","Csativa__XP_010474716 Csativa__XP_010457145 Csativa__XP_010480467"
"6","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16041847","Csativa__XP_010501277"
"7","TRUE","TRUE","TRUE","TRUE","BC_topology","99","Alyr__16050092","Csativa__XP_010457141"
"8","TRUE","TRUE","TRUE","TRUE","BC_topology","87","Alyr__16048871","Csativa__XP_010474723 Csativa__XP_010457138 Csativa__XP_010480399"
"9","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16061849","Csativa__XP_010480310 Csativa__XP_010457131 Csativa__XP_010474739"
"10","TRUE","TRUE","TRUE","TRUE","BC_topology","87","Alyr__16066048","Csativa__XP_010480300 Csativa__XP_010474740 Csativa__XP_010474741"
"11","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16063580","Csativa__XP_010480291 Csativa__XP_010474742 Csativa__XP_010474743"
"12","TRUE","TRUE","TRUE","TRUE","BC_topology","66","Alyr__16054254","Csativa__XP_010480254 Csativa__XP_010457121 Csativa__XP_010474746"
"13","TRUE","TRUE","TRUE","TRUE","BC_topology","97","Alyr__16040065","Csativa__XP_010474760 Csativa__XP_010480127 Csativa__XP_010457107"
"14","TRUE","TRUE","TRUE","FALSE","AB_topology","39","Alyr__16054647","Bstri__Bostr.5325s0084 Alyr__16054647 Athal__AT1G01630"
"15","TRUE","TRUE","TRUE","TRUE","BC_topology","99","Alyr__16050368","Csativa__XP_010457086 Csativa__XP_010479851 Csativa__XP_010474794"
"16","TRUE","TRUE","TRUE","TRUE","BC_topology","100","Alyr__16043609","Csativa__XP_010479766"
"17","TRUE","TRUE","TRUE","TRUE","BC_topology","97","Alyr__16053346","Csativa__XP_010474806 Csativa__XP_010479730"
"18","TRUE","TRUE","TRUE","TRUE","BC_topology","85","Alyr__16043283","Csativa__XP_010474814 Csativa__XP_010479691 Csativa__XP_010457071"
"19","TRUE","TRUE","TRUE","FALSE","Other_topology","BS_scoreNA","Alyr__16048535","Csativa__XP_010479679 Csativa__XP_010474815 Csativa__XP_010457070 Bstri__Bostr.5325s0108"
"20","TRUE","TRUE","TRUE","TRUE","BC_topology","97","Alyr__16042272","Csativa__XP_010474817"
"21","TRUE","TRUE","TRUE","TRUE","BC_topology","90","Alyr__16063431","Csativa__XP_010474825 Csativa__XP_010479595 Csativa__XP_010457057"
"22","TRUE","TRUE","TRUE","TRUE","BC_topology","98","Alyr__16059629","Csativa__XP_010474827 Csativa__XP_010479544 Csativa__XP_010457087"
"23","TRUE","TRUE","TRUE","TRUE","BC_topology","97","Alyr__16054829","Csativa__XP_010474633 Csativa__XP_010501282"
"24","TRUE","TRUE","TRUE","TRUE","BC_topology","99","Alyr__16051825","Csativa__XP_010457203 Csativa__XP_010480869"
