Analysis,Order,Athal_seq,Crub_seq,Agroup_monophyly,Crubub_Cgrand_monophyly,Csat_monophyly,C_group_monophyly,Topology,Topology_loose,Bootstrap_Support,Scaffold,Start,Stop,Middle
Nuclear,22,Athal__AT1G01970,Crub__Carubv10009324m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,98,1,86554,88381,87467.5
Nuclear,21,Athal__AT1G01940,Crub__Carubv10012351m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,90,1,102213,103469,102841
Nuclear,20,Athal__AT1G01900,Crub__Carubv10008379m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,97,1,113731,116614,115172.5
Nuclear,19,Athal__AT1G01860,Crub__Carubv10009683m,TRUE,TRUE,TRUE,FALSE,Other_topology,BC_topology,83,1,120549,123594,122071.5
Nuclear,18,Athal__AT1G01840,Crub__Carubv10011703m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,85,1,122917,123363,123140
Nuclear,17,Athal__AT1G01810,Crub__Carubv10012511m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,97,1,136577,137020,136798.5
Nuclear,16,Athal__AT1G01770,Crub__Carubv10012179m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,100,1,145704,149372,147538
Nuclear,15,Athal__AT1G01760,Crub__Carubv10011834m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,99,1,149754,151948,150851
Nuclear,14,Athal__AT1G01630,Crub__Carubv10010070m,TRUE,TRUE,TRUE,FALSE,AB_topology,AB_topology,39,1,193014,196228,194621
Nuclear_RetDups,211,AtAT1G01610,Cr10008926,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,72,1,201245,204221,202733
Nuclear,13,Athal__AT1G01570,Crub__Carubv10008901m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,97,1,236761,239278,238019.5
Nuclear,12,Athal__AT1G01470,Crub__Carubv10010557m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,66,1,273100,276839,274969.5
Nuclear,11,Athal__AT1G01450,Crub__Carubv10010980m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,100,1,287483,289429,288456
Nuclear,10,Athal__AT1G01440,Crub__Carubv10008546m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,87,1,291319,294377,292848
Nuclear,9,Athal__AT1G01430,Crub__Carubv10009105m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,100,1,295695,297585,296640
Nuclear,8,Athal__AT1G01310,Crub__Carubv10012656m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,87,1,327682,328386,328034
Nuclear,7,Athal__AT1G01300,Crub__Carubv10009005m,TRUE,TRUE,TRUE,TRUE,BC_topology,BC_topology,99,1,330225,332099,331162
