	Athl_seq	Crub_seq	Agroup_monophyly	Crub_Cgrand_monophyly	Csat_monophyly	C_group_monophyly	Topology	Topology_loose	Bootstrap_Support
1	Athal__AT1G01090	Crub__Carubv10009201m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	77
2	Athal__AT1G01120	Crub__Carubv10012263m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	82
3	Athal__AT1G01200	Crub__Carubv10010167m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	99
4	Athal__AT1G01230	Crub__Carubv10010529m	TRUE	TRUE	TRUE	FALSE	AB_topology	AB_topology	37
5	Athal__AT1G01250	Crub__Carubv10010347m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	93
6	Athal__AT1G01280	Crub__Carubv10011315m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
7	Athal__AT1G01300	Crub__Carubv10009005m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	99
8	Athal__AT1G01310	Crub__Carubv10012656m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	87
9	Athal__AT1G01430	Crub__Carubv10009105m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
10	Athal__AT1G01440	Crub__Carubv10008546m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	87
11	Athal__AT1G01450	Crub__Carubv10010980m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
12	Athal__AT1G01470	Crub__Carubv10010557m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	66
13	Athal__AT1G01570	Crub__Carubv10008901m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	97
14	Athal__AT1G01630	Crub__Carubv10010070m	TRUE	TRUE	TRUE	FALSE	AB_topology	AB_topology	39
15	Athal__AT1G01760	Crub__Carubv10011834m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	99
16	Athal__AT1G01770	Crub__Carubv10012179m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
17	Athal__AT1G01810	Crub__Carubv10012511m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	97
18	Athal__AT1G01840	Crub__Carubv10011703m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	85
19	Athal__AT1G01860	Crub__Carubv10009683m	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	83
20	Athal__AT1G01900	Crub__Carubv10008379m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	97
21	Athal__AT1G01940	Crub__Carubv10012351m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	90
22	Athal__AT1G01970	Crub__Carubv10009324m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	98
23	Athal__AT1G02260	Crub__Carubv10008913m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	97
24	Athal__AT1G02310	Crub__Carubv10011405m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	99
25	Athal__AT1G02330	Crub__Carubv10009977m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	99
26	Athal__AT1G02335	Crub__Carubv10010261m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
27	Athal__AT1G02370	Crub__Carubv10008848m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	87
28	Athal__AT1G02380	Crub__Carubv10010187m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	98
29	Athal__AT1G02400	Crub__Carubv10009706m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
30	Athal__AT1G02420	Crub__Carubv10012086m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	58
31	Athal__AT1G02450	Crub__Carubv10010607m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	78
32	Athal__AT1G02610	Crub__Carubv10010204m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	86
33	Athal__AT1G02660	Crub__Carubv10011093m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	93
34	Athal__AT1G02700	Crub__Carubv10010109m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	92
35	Athal__AT1G02790	Crub__Carubv10012094m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	99
36	Athal__AT1G02813	Crub__Carubv10012198m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	32
37	Athal__AT1G02816	Crub__Carubv10010322m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	98
38	Athal__AT1G02870	Crub__Carubv10010371m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
39	Athal__AT1G03055	Crub__Carubv10010025m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	99
40	Athal__AT1G03080	Crub__Carubv10008080m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
41	Athal__AT1G03110	Crub__Carubv10009228m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	96
42	Athal__AT1G03140	Crub__Carubv10011298m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	90
43	Athal__AT1G03150	Crub__Carubv10010452m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	56
44	Athal__AT1G03170	Crub__Carubv10012407m	TRUE	TRUE	TRUE	FALSE	Other_topology	BC_topology	100
45	Athal__AT1G03270	Crub__Carubv10008943m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	83
46	Athal__AT1G03320	Crub__Carubv10012047m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
47	Athal__AT1G03330	Crub__Carubv10010754m	TRUE	FALSE	TRUE	FALSE	Other_topology	Other_topology	BS_scoreNA
48	Athal__AT1G03350	Crub__Carubv10009113m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
49	Athal__AT1G03360	Crub__Carubv10009740m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	71
50	Athal__AT1G03370	Crub__Carubv10008175m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
51	Athal__AT1G03510	Crub__Carubv10011372m	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	96
