	Athal_seq	Crub_seq	Agroup_monophyly	Crub_Cgrand_monophyly	Csat_monophyly	C_group_monophyly	Topology	Topology_loose	Bootstrap_Support
1	AtAT1G02800	Cr10011914	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	95
2	AtAT4G02290	Cr10000741	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	99
3	AtAT1G03440	Cr10009374	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	95
4	AtAT4G03010	Cr10003741	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	65
5	AtAT5G43890	Cr10026464	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	85
6	AtAT1G04180	Cr10009248	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	48
7	AtAT1G04470	Cr10012233	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
8	AtAT2G33420	Cr10025494	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	96
9	AtAT1G04540	Cr10011922	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
10	AtAT2G33320	Cr10022860	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	67
11	AtAT2G30800	Cr10024926	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
12	AtAT1G06670	Cr10011734	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
13	AtAT1G07510	Cr10008328	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
14	AtAT2G29080	Cr10022773	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
15	AtAT1G07720	Cr10011152	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	95
16	AtAT2G28630	Cr10023121	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	97
17	AtAT1G07990	Cr10011058	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
18	AtAT2G28360	Cr10022667	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	77
19	AtAT1G54960	Cr10019920	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	96
20	AtAT1G09000	Cr10011475	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	73
21	AtAT1G09720	Cr10011130	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
22	AtAT1G58210	Cr10022360	TRUE	TRUE	TRUE	FALSE	Other_topology	Other_topology	BS_scoreNA
23	AtAT1G10640	Cr10008765	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	93
24	AtAT1G60590	Cr10020088	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	79
25	AtAT1G60630	Cr10022264	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	100
26	AtAT1G10850	Cr10011198	TRUE	TRUE	TRUE	TRUE	BC_topology	BC_topology	69
